Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C19,10uF,C_0603_1608Metric,149.72,-139.9,180.0,bottom
C2,10uF,C_0603_1608Metric,153.72,-150.3,0.0,bottom
C22,22uF,C_0603_1608Metric,156.825,-131.1,180.0,bottom
Q1,BSS138,SOT-23,141.8625,-123.95,0.0,bottom
Q2,BSS138,SOT-23,142.5625,-132.45,0.0,bottom
R10,180k,R_0402_1005Metric,167.6,-123.9,90.0,bottom
R15,56k,R_0402_1005Metric,166.2,-123.9,90.0,bottom
R16,180k,R_0402_1005Metric,168.1,-131.7,270.0,bottom
R17,10k,R_0402_1005Metric,157.4,-36.2,0.0,bottom
R18,56k,R_0402_1005Metric,166.9,-131.71,270.0,bottom
R19,3.3k,R_0402_1005Metric,163.99,-129.4,180.0,bottom
R20,1k,R_0402_1005Metric,163.99,-128.1,0.0,bottom
R21,180k,R_0402_1005Metric,134.5,-47.6,90.0,bottom
R22,56k,R_0402_1005Metric,134.5,-45.1,270.0,bottom
R4,10k,R_0402_1005Metric,145.6,-124.9,180.0,bottom
R5,10k,R_0402_1005Metric,140.9,-116.89,90.0,bottom
R6,10k,R_0402_1005Metric,145.9,-133.5,180.0,bottom
R7,10k,R_0402_1005Metric,141.5,-135.31,270.0,bottom
R8,1k,R_0402_1005Metric,164.0,-126.5,0.0,bottom
R9,3.3k,R_0402_1005Metric,164.0,-125.1,180.0,bottom
U1,TXS0102DCT,SSOP-8_2.95x2.8mm_P0.65mm,157.1,-33.725,0.0,bottom
U5,~,SQJ500AEP-T1_GE3_VIS,168.35,-127.375,180.0,bottom
U6,AMS1117-5.0,SOT-223-3_TabPin2,151.5,-134.35,90.0,bottom
